Sr. No.,Player,Base Price,Winning Bid,Capped/Uncapped
1,Noor Ahmad,20000000,100000000,Capped
2,Ravichandaran Ashwin,20000000,97500000,Capped
3,Devon Conway,20000000,62500000,Capped
4,Syed Khaleel Ahmed,20000000,48000000,Capped
5,Rachin Ravindra,15000000,40000000,Capped
6,Anshul Kamboj,3000000,34000000,Uncapped
7,Rahul Tripathi,7500000,34000000,Capped
8,Sam Curran,20000000,24000000,Capped
9,Gurjapneet Singh,3000000,22000000,Uncapped
10,Nathan Ellis,12500000,20000000,Capped
11,Deepak Hooda,7500000,17000000,Capped
12,Jamie Overton,15000000,15000000,Capped
13,Vijay Shankar,3000000,12000000,Uncapped
14,Vansh Bedi,3000000,5500000,Uncapped
15,Andre Siddarth,3000000,3000000,Uncapped
16,Shreyas Gopal,3000000,3000000,Uncapped
17,Ramakrishna Ghosh,3000000,3000000,Uncapped
18,Kamlesh Nagarkoti,3000000,3000000,Uncapped
19,Mukesh Choudhary,3000000,3000000,Uncapped
20,Shaik Rasheed,3000000,3000000,Uncapped
1,KL Rahul,20000000,140000000,Capped
2,Mitchell Starc,20000000,117500000,Capped
3,T. Natarajan,20000000,107500000,Capped
4,Jake Fraser-Mcgurk (R),20000000,90000000,Capped
5,Mukesh Kumar (R),20000000,80000000,Capped
6,Harry Brook,20000000,62500000,Capped
7,Ashutosh Sharma,3000000,38000000,Uncapped
8,Mohit Sharma,5000000,22000000,Uncapped
9,Faf Du Plessis,20000000,20000000,Capped
10,Sameer Rizvi,3000000,9500000,Uncapped
11,Donovan Ferreira,7500000,7500000,Capped
12,Dushmantha Chameera,7500000,7500000,Capped
13,Vipraj Nigam,3000000,5000000,Uncapped
14,Karun Nair,3000000,5000000,Uncapped
15,Madhav Tiwari,3000000,4000000,Uncapped
16,Tripurana Vijay,3000000,3000000,Uncapped
17,Manvanth Kumar L,3000000,3000000,Uncapped
18,Ajay Mandal,3000000,3000000,Uncapped
19,Darshan Nalkande,3000000,3000000,Uncapped
1,Jos Buttler,20000000,157500000,Capped
2,Mohammad Siraj,20000000,122500000,Capped
3,Kagiso Rabada,20000000,107500000,Capped
4,Prasidh Krishna,20000000,95000000,Capped
5,Washington Sundar,20000000,32000000,Capped
6,Sherfane Rutherford,15000000,26000000,Capped
7,Gerald Coetzee,12500000,24000000,Capped
8,Glenn Phillips,20000000,20000000,Capped
9,R. Sai Kishore,7500000,20000000,Capped
10,Mahipal Lomror,5000000,17000000,Uncapped
11,Gurnoor Singh Brar,3000000,13000000,Uncapped
12,Mohd. Arshad Khan,3000000,13000000,Uncapped
13,Karim Janat,7500000,7500000,Capped
14,Jayant Yadav,7500000,7500000,Capped
15,Ishant Sharma,7500000,7500000,Capped
16,Kumar Kushagra,3000000,6500000,Uncapped
17,Kulwant Khejroliya,3000000,3000000,Uncapped
18,Manav Suthar,3000000,3000000,Uncapped
19,Anuj Rawat,3000000,3000000,Uncapped
20,Nishant Sindhu,3000000,3000000,Uncapped
1,Venkatesh Iyer,20000000,237500000,Capped
2,Anrich Nortje,20000000,65000000,Capped
3,Quinton De Kock,20000000,36000000,Capped
4,Angkrish Raghuvanshi,3000000,30000000,Uncapped
5,Spencer Johnson,20000000,28000000,Capped
6,Moeen Ali,20000000,20000000,Capped
7,Rahmanullah Gurbaz,20000000,20000000,Capped
8,Vaibhav Arora,3000000,18000000,Uncapped
9,Ajinkya Rahane,15000000,15000000,Capped
10,Rovman Powell,15000000,15000000,Capped
11,Umran Malik,7500000,7500000,Capped
12,Manish Pandey,7500000,7500000,Capped
13,Anukul Roy,3000000,4000000,Uncapped
14,Luvnith Sisodia,3000000,3000000,Uncapped
15,Mayank Markande,3000000,3000000,Uncapped
1,Rishabh Pant,20000000,270000000,Capped
2,Avesh Khan,20000000,97500000,Capped
3,Akash Deep,10000000,80000000,Capped
4,David Miller,15000000,75000000,Capped
5,Abdul Samad,3000000,42000000,Uncapped
6,Mitchell Marsh,20000000,34000000,Capped
7,Shahbaz Ahamad,10000000,24000000,Capped
8,Aiden Markram,20000000,20000000,Capped
9,Matthew Breetzke,7500000,7500000,Capped
10,Shamar Joseph,7500000,7500000,Capped
11,M. Siddharth,3000000,7500000,Uncapped
12,Arshin Kulkarni,3000000,3000000,Uncapped
13,Rajvardhan Hangargekar,3000000,3000000,Uncapped
14,Yuvraj Chaudhary,3000000,3000000,Uncapped
15,Prince Yadav,3000000,3000000,Uncapped
16,Akash Singh,3000000,3000000,Uncapped
17,Digvesh Singh,3000000,3000000,Uncapped
18,Himmat Singh,3000000,3000000,Uncapped
19,Aryan Juyal,3000000,3000000,Uncapped
1,Trent Boult,20000000,125000000,Capped
2,Deepak Chahar,20000000,92500000,Capped
3,Will Jacks,20000000,52500000,Capped
4,Naman Dhir,3000000,52500000,Uncapped
5,Allah Ghazanfar,7500000,48000000,Capped
6,Mitchell Santner,20000000,20000000,Capped
7,Ryan Rickelton,10000000,10000000,Capped
8,Lizaad Williams,7500000,7500000,Capped
9,Reece Topley,7500000,7500000,Capped
10,Robin Minz,3000000,6500000,Uncapped
11,Karn Sharma,5000000,5000000,Uncapped
12,Vignesh Puthur,3000000,3000000,Uncapped
13,Arjun Tendulkar,3000000,3000000,Uncapped
14,Bevan John Jacobs,3000000,3000000,Uncapped
15,Venkata Satyanarayana Penmetsa,3000000,3000000,Uncapped
16,Raj Angad Bawa,3000000,3000000,Uncapped
17,Shrijith Krishnan,3000000,3000000,Uncapped
18,Ashwani Kumar,3000000,3000000,Uncapped
1,Shreyas Iyer,20000000,267500000,Capped
2,Yuzvendra Chahal,20000000,180000000,Capped
3,Arshdeep Singh,20000000,180000000,Capped
4,Marcus Stoinis,20000000,110000000,Capped
5,Marco Jansen,12500000,70000000,Capped
6,Nehal Wadhera,3000000,42000000,Uncapped
7,Glenn Maxwell,20000000,42000000,Capped
8,Priyansh Arya,3000000,38000000,Uncapped
9,Josh Inglis,20000000,26000000,Capped
10,Azmatullah Omarzai,15000000,24000000,Capped
11,Lockie Ferguson,20000000,20000000,Capped
12,Vyshak Vijaykumar,3000000,18000000,Uncapped
13,Yash Thakur,3000000,16000000,Uncapped
14,Harpreet Brar,3000000,15000000,Uncapped
15,Aaron Hardie,12500000,12500000,Capped
16,Vishnu Vinod,3000000,9500000,Uncapped
17,Xavier Bartlett,7500000,8000000,Capped
18,Kuldeep Sen,7500000,8000000,Capped
19,Pravin Dubey,3000000,3000000,Uncapped
20,Pyla Avinash,3000000,3000000,Uncapped
21,Suryansh Shedge,3000000,3000000,Uncapped
22,Musheer Khan,3000000,3000000,Uncapped
23,Harnoor Pannu,3000000,3000000,Uncapped
1,Josh Hazlewood ,200000000,1250000000,Capped
2,Phil Salt ,200000000,1150000000,Capped
3,Jitesh Sharma,100000000,1100000000,Capped
4,Bhuvneshwar Kumar,200000000,1075000000,Capped
5,Liam Livingstone ,200000000,875000000,Capped
6,Rasikh Dar,30000000,600000000,Uncapped
7,Krunal Pandya,200000000,575000000,Capped
8,Tim David ,200000000,300000000,Capped
9,Jacob Bethell ,125000000,260000000,Capped
10,Suyash Sharma,30000000,260000000,Uncapped
11,Devdutt Padikkal,200000000,200000000,Capped
12,Nuwan Thushara ,75000000,160000000,Capped
13,Romario Shepherd ,150000000,150000000,Capped
14,Lungisani Ngidi ,100000000,100000000,Capped
15,Swapnil Singh,30000000,50000000,Uncapped
16,Mohit Rathee,30000000,30000000,Uncapped
17,Abhinandan Singh,30000000,30000000,Uncapped
18,Swastik Chhikara,30000000,30000000,Uncapped
19,Manoj Bhandage,30000000,30000000,Uncapped
1,Jofra Archer,200000000,1250000000,Capped
2,Tushar Deshpande,100000000,650000000,Capped
3,Wanindu Hasaranga,200000000,525000000,Capped
4,Maheesh Theekshana,200000000,440000000,Capped
5,Nitish Rana,150000000,420000000,Capped
6,Fazalhaq Farooqi,200000000,200000000,Capped
7,Kwena Maphaka,75000000,150000000,Capped
8,Akash Madhwal,30000000,120000000,Uncapped
9,Vaibhav Suryavanshi,30000000,110000000,Uncapped
10,Shubham Dubey,30000000,80000000,Uncapped
11,Yudhvir Charak,30000000,35000000,Uncapped
12,Ashok Sharma,30000000,30000000,Uncapped
13,Kunal Rathore,30000000,30000000,Uncapped
14,Kumar Kartikeya Singh,30000000,30000000,Uncapped
1,Ishan Kishan,200000000,1125000000,Capped
2,Mohammad Shami,200000000,1000000000,Capped
3,Harshal Patel,200000000,800000000,Capped
4,Abhinav Manohar,30000000,320000000,Uncapped
5,Rahul Chahar,100000000,320000000,Capped
6,Adam Zampa ,200000000,240000000,Capped
7,Simarjeet Singh,30000000,150000000,Uncapped
8,Eshan Malinga ,30000000,120000000,Uncapped
9,Brydon Carse ,100000000,100000000,Capped
10,Jaydev Unadkat,100000000,100000000,Capped
11,Kamindu Mendis ,75000000,75000000,Capped
12,Zeeshan Ansari,30000000,40000000,Uncapped
13,Sachin Baby,30000000,30000000,Uncapped
14,Aniket Verma,30000000,30000000,Uncapped
15,Atharva Taide,30000000,30000000,Uncapped
